Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
127,India,3,Punjab,38,Moga,2021,Civil,5965,3795,661,117,10,0,0,10548,7545,758,692,1553,5442,777,3004,1313,459,678,1768,1452,2857
128,India,3,Punjab,38,Moga,2021,Criminal,7365,5169,862,162,4,0,0,13562,11043,650,1869,0,5698,255,6682,922,1459,2153,409,1245,3791
129,India,3,Punjab,38,Moga,2021,Total,13330,8964,1523,279,14,0,0,24110,18588,1408,2561,1553,11140,1032,9686,2235,1918,2831,2177,2697,6648
130,India,3,Punjab,39,Sri Muktsar Sahib,2021,Civil,4651,3677,768,102,20,1,0,9219,6196,667,584,1772,4497,773,2676,1272,352,386,1365,1111,136
131,India,3,Punjab,39,Sri Muktsar Sahib,2021,Criminal,8485,6236,1413,98,12,0,0,16244,13850,849,1545,0,8503,211,6925,600,1236,1208,722,1341,682
132,India,3,Punjab,39,Sri Muktsar Sahib,2021,Total,13136,9913,2181,200,32,1,0,25463,20046,1516,2129,1772,13000,984,9601,1872,1588,1594,2087,2452,818
133,India,3,Punjab,40,Shahid Bhagat Singh Nagar,2021,Civil,3961,3162,976,180,18,0,0,8297,6069,568,806,854,3745,548,2779,1224,291,328,2129,1550,2449
134,India,3,Punjab,40,Shahid Bhagat Singh Nagar,2021,Criminal,4952,2961,823,107,14,1,0,8858,6978,382,1498,0,4020,149,3811,805,1953,2729,429,963,2032
135,India,3,Punjab,40,Shahid Bhagat Singh Nagar,2021,Total,8913,6123,1799,287,32,1,0,17155,13047,950,2304,854,7765,697,6590,2029,2244,3057,2558,2513,4481
136,India,3,Punjab,41,Patiala,2021,Civil,17064,13297,4160,1129,83,5,2,35740,23744,2424,2557,7015,2352,4290,24071,5018,1484,1818,5190,3171,14419
137,India,3,Punjab,41,Patiala,2021,Criminal,20358,16184,4033,872,35,1,0,41483,35017,1807,4659,0,3371,852,34539,2706,2820,3854,1908,2807,15350
138,India,3,Punjab,41,Patiala,2021,Total,37422,29481,8193,2001,118,6,2,77223,58761,4231,7216,7015,5723,5142,58610,7724,4304,5672,7098,5978,29769
139,India,3,Punjab,42,Rupnagar,2021,Civil,6498,5247,1558,418,18,0,0,13739,8829,873,1334,2703,5574,1496,4207,2459,500,729,3464,2440,5349
140,India,3,Punjab,42,Rupnagar,2021,Criminal,5230,4229,1277,384,18,0,0,11138,8528,696,1914,0,3921,354,5878,983,760,909,599,1811,4273
141,India,3,Punjab,42,Rupnagar,2021,Total,11728,9476,2835,802,36,0,0,24877,17357,1569,3248,2703,9495,1850,10085,3442,1260,1638,4063,4251,9622
142,India,3,Punjab,43,Sangrur,2021,Civil,8490.09335,6701.030087,1595.871078,356.0361727,42.19139677,2.22059983,1.480399887,17188.92308,12344.31445,1452.272289,906.7449306,2485.59141,6544.107699,1587.728878,5803.167556,3252.438551,675.0623483,707.6311458,2960.799773,1935.622852,5706.201363
143,India,3,Punjab,43,Sangrur,2021,Criminal,11922.40049,7131.826454,1513.708884,273.1337791,12.58339904,0,0,20853.653,15916.51938,918.5881297,4018.545492,0,10105.20963,470.767164,8912.007318,1364.188496,1549.978681,1550.718881,843.0877355,1707.641269,5678.813965
144,India,3,Punjab,43,Sangrur,2021,Total,20412.49384,13832.85654,3109.579962,629.1699518,54.77479581,2.22059983,1.480399887,38042.57609,28260.83384,2370.860418,4925.290423,2485.59141,16649.31733,2058.496042,14715.17487,4616.627047,2225.04103,2258.350027,3803.887509,3643.264121,11385.01533
145,India,3,Punjab,605,Barnala,2021,Civil,3096,1950,532,94,10,0,0,5682,3812,370,633,867,2584,497,1589,1011,288,347,1082,1274,1765
146,India,3,Punjab,605,Barnala,2021,Criminal,4227,2329,558,64,9,0,0,7187,5398,395,1389,0,3159,134,3446,446,969,1056,267,1055,2191
147,India,3,Punjab,605,Barnala,2021,Total,7323,4279,1090,158,19,0,0,12869,9210,765,2022,867,5743,631,5035,1457,1257,1403,1349,2329,3956
148,India,3,Punjab,608,S.A.S Nagar,2021,Civil,11597,8618,2152,356,28,0,1,22752,13839,1892,2081,4940,11410,1919,6134,3288,1011,961,4423,3861,2572
149,India,3,Punjab,608,S.A.S Nagar,2021,Criminal,11356,7448,1561,266,61,15,3,20710,16253,1200,3257,0,10095,325,7987,2295,2677,2615,987,2501,1745
150,India,3,Punjab,608,S.A.S Nagar,2021,Total,22953,16066,3713,622,89,15,4,43462,30092,3092,5338,4940,21505,2244,14121,5583,3688,3576,5410,6362,4317
151,India,3,Punjab,609,Tarn Taran,2021,Civil,4464,3376,838,164,7,1,0,8850,6107,434,652,1657,4993,571,2086,1189,262,405,1266,914,2203
152,India,3,Punjab,609,Tarn Taran,2021,Criminal,6933,5059,1736,251,16,1,0,13996,11917,481,1597,1,7193,180,5822,780,1271,1213,430,795,4462
153,India,3,Punjab,609,Tarn Taran,2021,Total,11397,8435,2574,415,23,2,0,22846,18024,915,2249,1658,12186,751,7908,1969,1533,1618,1696,1709,6665
154,India,3,Punjab,651,Fazilka,2021,Civil,6660,4504,662,56,2,1,0,11885,7267,862,1158,2598,6173,578,3519,1609,514,710,1844,1660,3125
155,India,3,Punjab,651,Fazilka,2021,Criminal,11963,7621,1792,76,5,0,0,21457,15799,1718,3940,0,11379,282,8517,1277,1783,2092,1012,2515,6074
156,India,3,Punjab,651,Fazilka,2021,Total,18623,12125,2454,132,7,1,0,33342,23066,2580,5098,2598,17552,860,12036,2886,2297,2802,2856,4175,9199
157,India,3,Punjab,662,Pathankot,2021,Civil,3853,3239,822,192,6,3,0,8115,5410,566,792,1347,2981,1073,2722,1339,356,264,2365,1463,3167
158,India,3,Punjab,662,Pathankot,2021,Criminal,4808,3013,650,147,2,0,0,8620,6548,401,1671,0,3990,382,3600,646,786,687,427,1722,2940
159,India,3,Punjab,662,Pathankot,2021,Total,8661,6252,1472,339,8,3,0,16735,11958,967,2463,1347,6971,1455,6322,1985,1142,951,2792,3185,6107
160,India,3,Punjab,737,Malerkotla,2021,Civil,2979.90665,2351.969913,560.1289222,124.9638273,14.80860323,0.77940017,0.519600113,6033.076916,4332.685545,509.7277112,318.2550694,872.4085903,2296.892301,557.2711216,2036.832444,1141.561449,236.9376517,248.3688542,1039.200227,679.3771482,2002.798637
161,India,3,Punjab,737,Malerkotla,2021,Criminal,4184.599513,2503.173546,531.2911159,95.86622091,4.416600963,0,0,7319.346997,5586.480619,322.4118703,1410.454508,0,3546.790374,165.232836,3127.992682,478.8115044,544.0213187,544.2811187,295.9122645,599.3587307,1993.186035
162,India,3,Punjab,737,Malerkotla,2021,Total,7164.506163,4855.143459,1091.420038,220.8300482,19.22520419,0.77940017,0.519600113,13352.42391,9919.166164,832.1395815,1728.709577,872.4085903,5843.682675,722.5039576,5164.825127,1620.372953,780.9589704,792.6499729,1335.112491,1278.735879,3995.984672
163,India,4,Chandigarh,44,Chandigarh,2021,Civil,9310,9857,3087,789,52,4,0,23099,16330,1745,841,4183,10303,2105,10084,539,677,977,3539,4266,7299
164,India,4,Chandigarh,44,Chandigarh,2021,Criminal,20933,18685,3079,774,71,5,0,43547,37205,1788,4554,0,25734,782,16011,947,1990,1693,1354,2654,9679
165,India,4,Chandigarh,44,Chandigarh,2021,Total,30243,28542,6166,1563,123,9,0,66646,53535,3533,5395,4183,36037,2887,26095,1486,2667,2670,4893,6920,16978
166,India,5,Uttarakhand,45,Almora,2021,Civil,358,175,27,16,5,1,0,582,507,30,0,45,2,81,336,163,54,66,127,115,112
167,India,5,Uttarakhand,45,Almora,2021,Criminal,1082,374,55,9,0,1,0,1521,1471,31,19,0,799,146,543,33,340,329,34,165,164
168,India,5,Uttarakhand,45,Almora,2021,Total,1440,549,82,25,5,2,0,2103,1978,61,19,45,801,227,879,196,394,395,161,280,276
169,India,5,Uttarakhand,46,Bageshwar,2021,Civil,144,38,4,0,0,0,0,186,159,3,0,24,1,20,108,57,35,32,25,47,20
170,India,5,Uttarakhand,46,Bageshwar,2021,Criminal,488,93,14,3,0,0,0,598,548,2,48,0,156,125,268,49,169,143,18,83,27
171,India,5,Uttarakhand,46,Bageshwar,2021,Total,632,131,18,3,0,0,0,784,707,5,48,24,157,145,376,106,204,175,43,130,47
172,India,5,Uttarakhand,47,Chamoli,2021,Civil,230,93,20,6,0,0,0,349,235,80,0,34,0,49,212,88,32,98,43,106,7
173,India,5,Uttarakhand,47,Chamoli,2021,Criminal,750,281,33,4,2,0,0,1070,932,100,38,0,396,86,538,49,207,237,26,104,12
174,India,5,Uttarakhand,47,Chamoli,2021,Total,980,374,53,10,2,0,0,1419,1167,180,38,34,396,135,750,137,239,335,69,210,19
175,India,5,Uttarakhand,48,Champawat,2021,Civil,160,84,23,1,0,0,0,268,226,26,0,16,0,25,150,93,9,5,36,38,6
176,India,5,Uttarakhand,48,Champawat,2021,Criminal,1154,424,102,7,1,0,0,1688,1635,45,8,0,862,59,690,72,353,341,15,95,3
177,India,5,Uttarakhand,48,Champawat,2021,Total,1314,508,125,8,1,0,0,1956,1861,71,8,16,862,84,840,165,362,346,51,133,9
178,India,5,Uttarakhand,49,Dehradun,2021,Civil,7827,4790,1714,1530,379,23,1,16264,11233,1235,1603,1826,933,3242,9656,2419,925,1553,2840,2023,55
179,India,5,Uttarakhand,49,Dehradun,2021,Criminal,47219,29688,10316,8395,2256,27,0,97901,89104,708,7757,0,77168,1541,17316,1868,7249,5546,791,1970,38
180,India,5,Uttarakhand,49,Dehradun,2021,Total,55046,34478,12030,9925,2635,50,1,114165,100337,1943,9360,1826,78101,4783,26972,4287,8174,7099,3631,3993,93
181,India,5,Uttarakhand,50,Haridwar,2021,Civil,6175,5102,2318,1283,211,12,0,15101,12267,1305,1,1529,642,2166,8877,3390,662,633,1993,1705,5
182,India,5,Uttarakhand,50,Haridwar,2021,Criminal,28157,21097,7451,7776,1521,21,0,66023,55669,1832,8525,0,36696,4547,23008,1724,4130,4370,665,3100,53
183,India,5,Uttarakhand,50,Haridwar,2021,Total,34332,26199,9769,9059,1732,33,0,81124,67936,3137,8526,1529,37338,6713,31885,5114,4792,5003,2658,4805,58
184,India,5,Uttarakhand,51,Nainital,2021,Civil,1266,867,332,263,61,3,0,2792,2378,233,0,177,9,704,1448,630,183,241,681,419,2
185,India,5,Uttarakhand,51,Nainital,2021,Criminal,12732,6738,1778,579,25,2,0,21854,21543,214,97,0,16862,630,4051,309,1535,1510,420,711,26
186,India,5,Uttarakhand,51,Nainital,2021,Total,13998,7605,2110,842,86,5,0,24646,23921,447,97,177,16871,1334,5499,939,1718,1751,1101,1130,28
187,India,5,Uttarakhand,52,Pauri Garhwal,2021,Civil,676,433,99,38,4,0,0,1250,883,197,0,170,67,197,638,348,119,134,270,245,1
188,India,5,Uttarakhand,52,Pauri Garhwal,2021,Criminal,3056,1208,446,101,4,0,0,4815,4635,172,8,0,3025,219,1435,135,519,673,110,260,1
189,India,5,Uttarakhand,52,Pauri Garhwal,2021,Total,3732,1641,545,139,8,0,0,6065,5518,369,8,170,3092,416,2073,483,638,807,380,505,2
190,India,5,Uttarakhand,53,Pithoragarh,2021,Civil,273,208,37,5,0,0,0,523,366,108,0,49,3,53,304,163,19,73,68,118,9
191,India,5,Uttarakhand,53,Pithoragarh,2021,Criminal,1531,527,88,15,1,0,0,2162,1975,131,56,0,1103,141,839,73,277,408,12,169,4
192,India,5,Uttarakhand,53,Pithoragarh,2021,Total,1804,735,125,20,1,0,0,2685,2341,239,56,49,1106,194,1143,236,296,481,80,287,13
193,India,5,Uttarakhand,54,Rudra Prayag,2021,Civil,106,15,3,0,1,0,0,125,109,10,0,6,0,8,67,50,31,29,16,40,0
194,India,5,Uttarakhand,54,Rudra Prayag,2021,Criminal,579,70,9,4,0,0,0,662,649,7,6,0,436,34,134,58,76,155,3,54,3
195,India,5,Uttarakhand,54,Rudra Prayag,2021,Total,685,85,12,4,1,0,0,787,758,17,6,6,436,42,201,108,107,184,19,94,3
196,India,5,Uttarakhand,55,Tehri Garhwal,2021,Civil,305,112,43,12,1,0,0,473,353,60,0,60,24,50,296,101,50,77,109,51,14
197,India,5,Uttarakhand,55,Tehri Garhwal,2021,Criminal,2343,598,161,44,5,0,0,3151,3055,74,20,2,2122,152,775,96,361,574,31,86,30
198,India,5,Uttarakhand,55,Tehri Garhwal,2021,Total,2648,710,204,56,6,0,0,3624,3408,134,20,62,2146,202,1071,197,411,651,140,137,44
199,India,5,Uttarakhand,56,Udam Singh Nagar,2021,Civil,3081,2101,930,559,46,1,0,6718,5403,382,499,432,740,413,3511,2044,322,371,309,1470,2
200,India,5,Uttarakhand,56,Udam Singh Nagar,2021,Criminal,25666,13823,6373,3839,143,1,0,49845,48280,1267,298,0,35497,141,12778,1148,2688,2074,97,1449,13
201,India,5,Uttarakhand,56,Udam Singh Nagar,2021,Total,28747,15924,7303,4398,189,2,0,56563,53683,1649,797,432,36237,554,16289,3192,3010,2445,406,2919,15
202,India,5,Uttarakhand,57,Uttar Kashi,2021,Civil,303,198,27,16,5,0,0,549,436,68,0,45,6,75,336,130,77,82,98,55,16
203,India,5,Uttarakhand,57,Uttar Kashi,2021,Criminal,1596,463,71,8,1,0,0,2139,2049,73,17,0,1196,212,699,30,161,320,44,86,31
204,India,5,Uttarakhand,57,Uttar Kashi,2021,Total,1899,661,98,24,6,0,0,2688,2485,141,17,45,1202,287,1035,160,238,402,142,141,47
205,India,6,Haryana,58,Ambala,2021,Civil,8509,8708,3986,1164,43,1,0,22411,15710,1252,1089,4360,10550,1795,7433,2632,730,650,4676,3483,12943
206,India,6,Haryana,58,Ambala,2021,Criminal,16162,11933,3930,808,43,3,0,32879,29371,785,2723,0,17335,255,11161,4048,2054,2120,1046,2260,14705
207,India,6,Haryana,58,Ambala,2021,Total,24671,20641,7916,1972,86,4,0,55290,45081,2037,3812,4360,27885,2050,18594,6680,2784,2770,5722,5743,27648
208,India,6,Haryana,59,Bhiwani,2021,Civil,9124.848029,7966.664935,3432.294996,392.7570662,8.312318861,0,0,20924.87734,13667.53029,1920.83835,1363.220293,3973.288415,10801.85836,1126.319206,7045.382928,1949.238773,775.1237337,529.2176341,3744.006953,3592.307134,7291.289027
209,India,6,Haryana,59,Bhiwani,2021,Criminal,9600.728284,9194.117353,3148.983462,272.2284427,6.234239145,0,0,22222.29178,18858.57341,1329.971018,2033.747348,0,10046.13004,454.4067644,10284.41651,1431.10423,2958.492821,2975.810152,509.1295302,2207.613351,6543.18033
210,India,6,Haryana,59,Bhiwani,2021,Total,18725.57631,17160.78229,6581.278458,664.9855088,14.54655801,0,0,43147.16913,32526.1037,3250.809368,3396.967641,3973.288415,20847.9884,1580.72597,17329.79944,3380.343003,3733.616555,3505.027786,4253.136484,5799.920485,13834.46936
211,India,6,Haryana,60,Faridabad,2021,Civil,13393,12769,3683,589,40,1,1,30476,20276,1105,2253,6842,18798,1120,7142,3416,1263,938,3453,3638,15308
751,India,11,Sikkim,228,West District,2021,Civil,41,10,1,0,0,0,0,52,46,1,0,5,9,20,18,5,15,11,9,17,4
212,India,6,Haryana,60,Faridabad,2021,Criminal,45312,26147,6254,1107,138,7,0,78965,74029,1559,3377,0,51936,580,20674,5758,5345,3276,1626,4300,29780
213,India,6,Haryana,60,Faridabad,2021,Total,58705,38916,9937,1696,178,8,1,109441,94305,2664,5630,6842,70734,1700,27816,9174,6608,4214,5079,7938,45088
214,India,6,Haryana,61,Fatehabad,2021,Civil,4794,3360,1092,197,6,0,0,9449,6905,852,270,1422,4089,803,3608,949,488,680,1624,1744,884
215,India,6,Haryana,61,Fatehabad,2021,Criminal,9511,6813,2483,100,1,0,0,18908,17136,866,906,0,9525,306,8103,970,1504,1555,443,1268,1867
216,India,6,Haryana,61,Fatehabad,2021,Total,14305,10173,3575,297,7,0,0,28357,24041,1718,1176,1422,13614,1109,11711,1919,1992,2235,2067,3012,2751
217,India,6,Haryana,62,Gurugram,2021,Civil,15835,16864,6550,3270,295,2,0,42816,29293,2590,2524,8409,20634,4147,13366,4665,1492,1065,4764,3648,8680
218,India,6,Haryana,62,Gurugram,2021,Criminal,80024,111642,14140,2811,85,0,0,208702,202514,3184,3004,0,124212,2035,58256,24173,11442,12192,1560,1646,32573
219,India,6,Haryana,62,Gurugram,2021,Total,95859,128506,20690,6081,380,2,0,251518,231807,5774,5528,8409,144846,6182,71622,28838,12934,13257,6324,5294,41253
220,India,6,Haryana,63,Hisar,2021,Civil,10895,8851,2601,289,13,0,0,22649,14901,1720,896,5132,12083,1548,6835,2183,831,884,3254,3924,10498
221,India,6,Haryana,63,Hisar,2021,Criminal,20133,21280,7111,651,13,1,0,49189,45218,1776,2195,0,25486,624,20560,2487,3937,3126,1190,3762,15355
222,India,6,Haryana,63,Hisar,2021,Total,31028,30131,9712,940,26,1,0,71838,60119,3496,3091,5132,37569,2172,27395,4670,4768,4010,4444,7686,25853
223,India,6,Haryana,64,Jhajjar,2021,Civil,6537,6888,2627,791,17,1,0,16861,10979,896,1565,3421,7979,2013,4494,2169,501,425,3684,2352,9576
224,India,6,Haryana,64,Jhajjar,2021,Criminal,10346,8180,3233,677,10,3,0,22449,19963,602,1735,149,10763,645,9229,1806,1724,2003,510,1621,11110
225,India,6,Haryana,64,Jhajjar,2021,Total,16883,15068,5860,1468,27,4,0,39310,30942,1498,3300,3570,18742,2658,13723,3975,2225,2428,4194,3973,20686
226,India,6,Haryana,65,Jind,2021,Civil,6950,5887,2124,195,5,0,0,15161,10680,1413,553,2515,6722,1013,4865,2559,551,452,2457,1999,6452
227,India,6,Haryana,65,Jind,2021,Criminal,9667,8431,3737,272,6,1,0,22114,19701,968,1445,0,9637,284,9873,2320,1328,1095,537,1740,9990
228,India,6,Haryana,65,Jind,2021,Total,16617,14318,5861,467,11,1,0,37275,30381,2381,1998,2515,16359,1297,14738,4879,1879,1547,2994,3739,16442
229,India,6,Haryana,66,Kaithal,2021,Civil,6974,5756,1763,233,20,0,3,14749,10963,1020,598,2168,5640,1398,6121,1590,469,454,2439,1573,4466
230,India,6,Haryana,66,Kaithal,2021,Criminal,13113,9144,1947,116,7,0,0,24327,22354,933,1040,0,13709,259,8275,2084,1698,1911,518,1141,5617
231,India,6,Haryana,66,Kaithal,2021,Total,20087,14900,3710,349,27,0,3,39076,33317,1953,1638,2168,19349,1657,14396,3674,2167,2365,2957,2714,10083
232,India,6,Haryana,67,Karnal,2021,Civil,12885,10182,3228,293,13,0,0,26601,18212,2075,1332,4985,14401,1114,8448,2636,953,951,3478,3184,2479
233,India,6,Haryana,67,Karnal,2021,Criminal,36579,16224,4308,367,41,6,0,57525,52940,2475,2109,1,39383,302,15247,2563,5412,2977,844,1747,3661
234,India,6,Haryana,67,Karnal,2021,Total,49464,26406,7536,660,54,6,0,84126,71152,4550,3441,4986,53784,1416,23695,5199,6365,3928,4322,4931,6140
235,India,6,Haryana,68,Kurukshetra,2021,Civil,7077,5934,2057,342,43,1,0,15454,10336,1615,856,2647,6947,1058,5420,2028,510,811,2705,2816,7584
236,India,6,Haryana,68,Kurukshetra,2021,Criminal,20467,8890,2992,257,12,0,0,32618,29802,1359,1457,0,20010,231,10398,1973,2992,4525,982,1762,11016
237,India,6,Haryana,68,Kurukshetra,2021,Total,27544,14824,5049,599,55,1,0,48072,40138,2974,2313,2647,26957,1289,15818,4001,3502,5336,3687,4578,18600
238,India,6,Haryana,69,Mahendragarh,2021,Civil,7892,7708,3170,283,14,0,0,19067,13002,2033,1410,2622,8800,1125,6513,2628,746,550,4118,2867,10071
239,India,6,Haryana,69,Mahendragarh,2021,Criminal,7827,6623,2217,191,14,0,0,16872,15093,903,738,138,7620,160,7326,1759,2594,2014,661,1488,8014
240,India,6,Haryana,69,Mahendragarh,2021,Total,15719,14331,5387,474,28,0,0,35939,28095,2936,2148,2760,16420,1285,13839,4387,3340,2564,4779,4355,18085
241,India,6,Haryana,70,Panchkula,2021,Civil,4057,3685,1369,245,14,3,0,9373,5759,760,602,2252,4805,331,2393,1725,318,390,2018,1508,2644
242,India,6,Haryana,70,Panchkula,2021,Criminal,8629,5479,1593,198,12,1,0,15912,14470,548,894,0,9980,138,4619,1175,1120,2004,745,1303,4699
243,India,6,Haryana,70,Panchkula,2021,Total,12686,9164,2962,443,26,4,0,25285,20229,1308,1496,2252,14785,469,7012,2900,1438,2394,2763,2811,7343
244,India,6,Haryana,71,Panipat,2021,Civil,8035,5648,1662,201,20,0,0,15566,10909,903,927,2827,7853,997,4021,2694,741,763,2340,2710,5523
245,India,6,Haryana,71,Panipat,2021,Criminal,18271,11053,3706,420,18,6,0,33474,30294,1139,2041,0,18155,356,12182,2779,4311,4580,721,2581,11795
246,India,6,Haryana,71,Panipat,2021,Total,26306,16701,5368,621,38,6,0,49040,41203,2042,2968,2827,26008,1353,16203,5473,5052,5343,3061,5291,17318
247,India,6,Haryana,72,Rewari,2021,Civil,8015,7784,3293,338,16,1,1,19448,14080,1432,828,3108,8088,554,7457,3099,638,612,4280,3407,8999
248,India,6,Haryana,72,Rewari,2021,Criminal,10995,9080,2930,212,4,0,0,23221,20749,673,1799,0,9954,153,9086,2683,1927,1674,738,1886,8316
249,India,6,Haryana,72,Rewari,2021,Total,19010,16864,6223,550,20,1,1,42669,34829,2105,2627,3108,18042,707,16543,5782,2565,2286,5018,5293,17315
250,India,6,Haryana,73,Rohtak,2021,Civil,6292,5259,1420,176,14,2,0,13163,9418,633,894,2218,7774,444,3921,1023,680,496,2250,2380,5817
251,India,6,Haryana,73,Rohtak,2021,Criminal,21221,10761,3352,356,13,0,0,35703,33006,422,1801,474,22363,200,10471,2659,3984,3328,873,2144,11941
252,India,6,Haryana,73,Rohtak,2021,Total,27513,16020,4772,532,27,2,0,48866,42424,1055,2695,2692,30137,644,14392,3682,4664,3824,3123,4524,17758
253,India,6,Haryana,74,Sirsa,2021,Civil,7798,6126,1507,254,15,1,2,15703,11578,1016,606,2503,7264,1251,4952,2235,640,510,3096,1824,5312
254,India,6,Haryana,74,Sirsa,2021,Criminal,12421,9143,3461,412,15,3,0,25455,22557,913,1985,0,12754,528,11009,1163,2218,1715,804,1919,9045
255,India,6,Haryana,74,Sirsa,2021,Total,20219,15269,4968,666,30,4,2,41158,34135,1929,2591,2503,20018,1779,15961,3398,2858,2225,3900,3743,14357
256,India,6,Haryana,75,Sonipat,2021,Civil,10373,9190,4414,1125,30,0,0,25132,17871,1436,1643,4182,13504,1709,7299,2620,890,852,5186,4283,6025
257,India,6,Haryana,75,Sonipat,2021,Criminal,13434,12348,4889,1272,23,3,0,31969,28439,981,2412,137,15848,298,14114,1707,2434,2308,1427,2940,5541
258,India,6,Haryana,75,Sonipat,2021,Total,23807,21538,9303,2397,53,3,0,57101,46310,2417,4055,4319,29352,2007,21413,4327,3324,3160,6613,7223,11566
259,India,6,Haryana,76,Yamunanagar,2021,Civil,11185,9872,3805,536,23,2,0,25423,18541,2254,1067,3561,13033,800,9243,2346,949,847,4525,3948,11846
260,India,6,Haryana,76,Yamunanagar,2021,Criminal,11762,11099,3124,325,12,0,0,26322,22778,1593,1951,0,12412,147,12426,1337,1241,1735,1107,2946,12171
261,India,6,Haryana,76,Yamunanagar,2021,Total,22947,20971,6929,861,35,2,0,51745,41319,3847,3018,3561,25445,947,21669,3683,2190,2582,5632,6894,24017
262,India,6,Haryana,604,Nuh,2021,Civil,9545,7983,1323,159,8,0,0,19018,15134,461,980,2443,13188,747,3401,1667,532,401,2355,1486,3163
263,India,6,Haryana,604,Nuh,2021,Criminal,9021,7689,2546,125,37,5,0,19423,17008,456,1937,22,8254,676,8893,1581,2349,1596,262,1457,4615
264,India,6,Haryana,604,Nuh,2021,Total,18566,15672,3869,284,45,5,0,38441,32142,917,2917,2465,21442,1423,12294,3248,2881,1997,2617,2943,7778
265,India,6,Haryana,619,Palwal,2021,Civil,9480,7769,2051,240,25,1,1,19567,15477,770,772,2548,12762,370,4724,1711,686,501,2542,2165,1819
266,India,6,Haryana,619,Palwal,2021,Criminal,8672,8704,4111,359,18,0,0,21864,19699,468,1697,0,10897,196,9202,1568,1551,1357,587,2168,3512
267,India,6,Haryana,619,Palwal,2021,Total,18152,16473,6162,599,43,1,1,41431,35176,1238,2469,2548,23659,566,13926,3279,2237,1858,3129,4333,5331
268,India,6,Haryana,701,Charki Dadri,2021,Civil,4048.151971,3534.335065,1522.705004,174.2429338,3.687681139,0,0,9283.122655,6063.469714,852.16165,604.7797069,1762.711585,4792.141641,499.6807944,3125.617072,864.7612272,343.8762663,234.7823659,1660.993047,1593.692866,3234.710973
269,India,6,Haryana,701,Charki Dadri,2021,Criminal,4259.271716,4078.882647,1397.016538,120.7715573,2.765760855,0,0,9858.70822,8366.426585,590.0289823,902.2526521,0,4456.869964,201.5932356,4562.58349,634.8957695,1312.507179,1320.189848,225.8704698,979.3866493,2902.81967
270,India,6,Haryana,701,Charki Dadri,2021,Total,8307.423687,7613.217712,2919.721542,295.0144912,6.453441994,0,0,19141.83087,14429.8963,1442.190632,1507.032359,1762.711585,9249.011605,701.27403,7688.200562,1499.656997,1656.383445,1554.972214,1886.863516,2573.079515,6137.530643
271,India,7,Delhi,77,Central,2021,Civil,23855,20599,9401,7344,1448,179,31,62857,52835,1167,2218,6511,3778,23370,33622,1992,2720,2498,6401,5784,34734
272,India,7,Delhi,77,Central,2021,Criminal,34550,37144,20802,8655,1006,93,7,102257,98744,1096,1282,1113,64711,11132,20763,5383,4057,3654,3074,5007,62037
273,India,7,Delhi,77,Central,2021,Total,58405,57743,30203,15999,2454,272,38,165114,151579,2263,3500,7624,68489,34502,54385,7375,6777,6152,9475,10791,96771
274,India,7,Delhi,78,East,2021,Civil,,,,,,,,,,,,,,,,,,,,,
275,India,7,Delhi,78,East,2021,Criminal,,,,,,,,,,,,,,,,,,,,,
276,India,7,Delhi,78,East,2021,Total,,,,,,,,,,,,,,,,,,,,,
277,India,7,Delhi,79,New Delhi,2021,Civil,7239,6467,4150,1168,41,1,0,19066,15718,613,18,2640,978,0,17288,777,955,1006,1351,1126,10944
278,India,7,Delhi,79,New Delhi,2021,Criminal,28125,32218,19265,8957,945,46,0,89556,87431,970,104,179,65938,758,19587,3198,2869,3546,963,1197,50775
279,India,7,Delhi,79,New Delhi,2021,Total,35364,38685,23415,10125,986,47,0,108622,103149,1583,122,2819,66916,758,36875,3975,3824,4552,2314,2323,61719
280,India,7,Delhi,80,North,2021,Civil,7734,7605,3056,2118,64,1,0,20578,16146,422,93,3917,1773,11044,7070,687,859,796,2582,2414,11509
281,India,7,Delhi,80,North,2021,Criminal,18859,18884,8629,5762,757,4,0,52895,51332,484,171,908,29895,6503,14054,2410,2967,2630,1232,3773,32097
282,India,7,Delhi,80,North,2021,Total,26593,26489,11685,7880,821,5,0,73473,67478,906,264,4825,31668,17547,21124,3097,3826,3426,3814,6187,43606
283,India,7,Delhi,81,North East,2021,Civil,,,,,,,,,,,,,,,,,,,,,
284,India,7,Delhi,81,North East,2021,Criminal,,,,,,,,,,,,,,,,,,,,,
285,India,7,Delhi,81,North East,2021,Total,,,,,,,,,,,,,,,,,,,,,
286,India,7,Delhi,82,North West,2021,Civil,9384,8486,3460,2517,159,3,0,24009,19060,494,98,4356,2304,12595,8003,1023,1108,658,2458,3243,13116
